DrugMaster_ID	SourceSystem_Code	Drug_Code	DrugMaster_Code	Drug_Description	AltDrug_Description	Manufacturer_Name	Form_Code	Strength_Code	PackSize_Qty	OriginalDrug_Description	Universal_Code	GenericDrugType_Code	Schedule_Code	GenNHS_Code	Generic_Name	Type_Code	Class_Code	PBS_Code	PackMultiplier_Number	OverridePackSize_Qty	Processed	AutoDMC_Code	FailureType_Code	Created_DateTime	LastUpdate_DateTime	Mapped_DateTime	PBSItemValid					
673681	MINFOS	572094	!UNMAPPED	SCHOLL VT SMT ELEC NAIL CR PNK	NULL	NULL	!	NULL	NULL	SCHOLL VT SMT ELEC NAIL CR PNK	4002448095422	2	NULL	NULL	0	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	38:24.8	NULL	NULL	0					
607169	MINFOS	572450	ToAsk	CORTIMENT-PROLONGED-REL TAB 9MG 30	NULL	FP	TAB	NULL	NULL	CORTIMENT-PROLONGED-REL TAB 9MG 30	7640128545354	0	NULL	NULL	221000	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14:03.1	NULL	NULL	0					
673217	MINFOS	572929	!UNMAPPED	A&D AUTO BLOOD PRESSURE M	NULL	NULL	!	NULL	NULL	A&D AUTO BLOOD PRESSURE M	5060006581342	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	33:48.5	NULL	NULL	0					
672726	MINFOS	572939	!UNMAPPED	ELEVIT BREASTFEEDING 30S	NULL	NULL	!	NULL	NULL	ELEVIT BREASTFEEDING 30S	9310160822710	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42:12.0	NULL	NULL	0					
673358	MINFOS	573328	!UNMAPPED	DURO-TUSS CHILD C&F BRY 200M	NULL	NULL	!	NULL	NULL	DURO-TUSS CHILD C&F BRY 200M	9314057011089	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	23:23.9	NULL	NULL	0					
672708	MINFOS	573485	!UNMAPPED	SENSODYNE TPASTE TRUE WHT EXT FRSH 110G	NULL	NULL	!	NULL	NULL	SENSODYNE TPASTE TRUE WHT EXT FRSH 110G	9300673824325	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	37:49.4	NULL	NULL	0					
672837	MINFOS	573661	!UNMAPPED	REXONA RO WILLIAMS RACING	NULL	NULL	!	NULL	NULL	REXONA RO WILLIAMS RACING	4800888192592	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	15:51.8	NULL	NULL	0					
672489	MINFOS	573877	!UNMAPPED	ABSTRAL TAB-SL 600MCG 10	NULL	FK	TAB-SL	NULL	NULL	ABSTRAL TAB-SL 600MCG 10	9341677000520	1	NULL	10604D	605006	1	NULL	10604D	NULL	NULL	NULL	NULL	NULL	49:39.3	NULL	NULL	1					
673219	MINFOS	573905	!UNMAPPED	NUT/CARE SAME 400 CMPLX TAB 30	NULL	NULL	!	NULL	NULL	NUT/CARE SAME 400 CMPLX TAB 30	9326939001231	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	43:56.1	NULL	NULL	0					
673629	MINFOS	574576	!UNMAPPED	OMRON HVF021 TENS THRPY DEV	NULL	NULL	!	NULL	NULL	OMRON HVF021 TENS THRPY DEV	4975479495823	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20:16.9	NULL	NULL	0					
672709	MINFOS	574590	!UNMAPPED	SCW EX/CARE COND MAG STRNGTH	NULL	NULL	!	NULL	NULL	SCW EX/CARE COND MAG STRNGTH	9310714218921	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	37:49.4	NULL	NULL	0					
672727	MINFOS	574599	!UNMAPPED	CENOVIS IRON PLUS TAB 80	NULL	NULL	!	NULL	NULL	CENOVIS IRON PLUS TAB 80	9300705605441	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42:12.0	NULL	NULL	0					
127564	MINFOS	76473	!UNMAPPED	RECTOGESIC OINT 0.2% 30G 1	NULL		OINT	NULL	NULL	RECTOGESIC OINT 0.2% 30G 1	9325728000011	1	NULL		712010	1	NULL		NULL	NULL	NULL	NULL	NULL	NULL	33:57.5	NULL	0					
673227	MINFOS	76535	KARV1	KARVEA TAB  75MG 28     HOSP	NULL	NULL	!	NULL	NULL	KARVEA TAB  75MG 28     HOSP	9319733000180	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30:18.8	NULL	NULL	0					
605563	MINFOS	79035	!UNMAPPED	XYLOCAINE INJ 2% 20ML P/A HOSP	NULL	NULL	!	NULL	NULL	XYLOCAINE INJ 2% 20ML P/A HOSP	20790356	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	53:19.0	NULL	NULL	0					
156127	MINFOS	82065	!UNMAPPED	DERMEZE OINT 500G	NULL		!	NULL	NULL	DERMEZE OINT 500G	9331134010001	0	NULL		0	0	NULL		NULL	NULL	NULL	NULL	NULL	NULL	34:51.9	NULL	0					
156179	MINFOS	8465	!UNMAPPED	NULAX 500G	NULL		!	NULL	NULL	NULAX 500G	9310214000064	2	NULL		0	2	NULL		NULL	NULL	NULL	NULL	NULL	NULL	34:53.4	NULL	0					
67872	MINFOS	8889	!UNMAPPED	OTRIVIN NAS/SPRY M/D ADLT 10ML	NULL		!	NULL	NULL	OTRIVIN NAS/SPRY M/D ADLT 10ML	9310130074248	0	NULL		0	0	NULL		NULL	NULL	NULL	NULL	7	NULL	34:49.7	NULL	0					
182364	MINFOS	8935	!UNMAPPED	PANADOL RAPID CLEAR SOL 20	NULL	SW	!	NULL	NULL	PANADOL TAB CLEAR SOL 20	9300673616982	1	NULL		0	1	NULL		NULL	NULL	NULL	NULL	5	NULL	34:27.1	NULL	0					
672605	MINFOS	9001321	!UNMAPPED	CLARATYNE-D REPETABS 6	NULL	NULL	!	NULL	NULL	CLARATYNE-D REPETABS 6	9001321	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	23:02.2	NULL	NULL	0					
673650	MINFOS	9003137	!UNMAPPED	METHYLCOBALAMIN 4MG LOZ (NO FLAV) 30 X 3	NULL	NULL	!	NULL	NULL	METHYLCOBALAMIN 4MG LOZ (NO FLAV) 30 X 3	9003137	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	44:32.0	NULL	NULL	0					
673492	MINFOS	9004404	!UNMAPPED	PROGESTERONE 10% IN V/BASE CREAM 100G	NULL	NULL	!	NULL	NULL	PROGESTERONE 10% IN V/BASE CREAM 100G	9004404	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	43:15.8	NULL	NULL	0					
672682	MINFOS	9005542	!UNMAPPED	TESTOSTERONE CRM 5% VANPEN	NULL	NULL	!	NULL	NULL	TESTOSTERONE CRM 5% VANPEN	9005542	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	21:48.0	NULL	NULL	0					
673493	MINFOS	9006184	!UNMAPPED	VERAPAMIL 15% GEL 10 X 3ML SYRINGES	NULL	NULL	!	NULL	NULL	VERAPAMIL 15% GEL 10 X 3ML SYRINGES	9006184	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	43:15.8	NULL	NULL	0					
673016	MINFOS	9075549	!UNMAPPED	B/MORES MEGA B COMPLEX 31 TAB	NULL	NULL	!	NULL	NULL	B/MORES MEGA B COMPLEX 31 TAB	93808811	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	57:26.1	NULL	NULL	0					
673616	MINFOS	9153011	!UNMAPPED	HYDRALYTE V/PK APP BCURR SACH 24	NULL	NULL	!	NULL	NULL	HYDRALYTE V/PK APP BCURR SACH 24	9317039000941	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	11:09.5	NULL	NULL	0					
672306	MINFOS	9160551	!UNMAPPED	OPTIVE FUSION 10ML	NULL	NULL	!	NULL	NULL	OPTIVE FUSION 10ML	9315195946073	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	25:09.3	NULL	NULL	0					
673349	MINFOS	9162170	!UNMAPPED	NASONEX ALLERGY 140 MD SPRY TWN PK	NULL	NULL	!	NULL	NULL	NASONEX ALLERGY 140 MD SPRY TWN PK	9310160824127	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	11:08.0	NULL	NULL	0					
672290	MINFOS	9163056	!UNMAPPED	APH CARDIO ASPRIN TAB 100MG 168	NULL	NULL	!	NULL	NULL	APH CARDIO ASPRIN TAB 100MG 168	9338475098538	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	39:02.5	NULL	NULL	0					
673237	MINFOS	9298380	!UNMAPPED	BD MICRO FINE + PEN NEEDLES 31G  8MM	NULL	NULL	!	NULL	NULL	BD MICRO FINE + PEN NEEDLES 31G  8MM	382903206315	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	34:38.8	NULL	NULL	0					
673308	MINFOS	9345479	!UNMAPPED	DA ONE TOUCH VERIO 50	NULL	NULL	!	NULL	NULL	DA ONE TOUCH VERIO 50	23454811	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	33:44.1	NULL	NULL	0					
599004	MINFOS	9356763	!UNMAPPED	VIT D3 POWDER SACHET 100,000IU	NULL	NULL	!	NULL	NULL	VIT D3 POWDER SACHET 100,000IU	845641423131	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	52:34.0	34:41.6	NULL	0					
599005	MINFOS	9389255	!UNMAPPED	VITAMIN D3 PWDR 100,000 (1G)	NULL	NULL	!	NULL	NULL	VITAMIN D3 PWDR 100,000 (1G)	9854100369758	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	52:34.0	44:48.6	NULL	0					
605564	MINFOS	9401155	!UNMAPPED	APO-DOMPERIDONE 10MG	NULL	NULL	!	NULL	NULL	APO-DOMPERIDONE 10MG	9338475025831	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	53:19.0	NULL	NULL	0					
672874	MINFOS	9401250	!UNMAPPED	GRAY BAG	NULL	NULL	!	NULL	NULL	GRAY BAG	24012508	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	35:04.2	NULL	NULL	0					
673330	MINFOS	9402092	!UNMAPPED	VERA MAY NORMA LG/GRY	NULL	NULL	!	NULL	NULL	VERA MAY NORMA LG/GRY	24020923	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	39:02.7	NULL	NULL	0					
673331	MINFOS	9402093	!UNMAPPED	VERA MAY NORMA BLK	NULL	NULL	!	NULL	NULL	VERA MAY NORMA BLK	24020930	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	39:02.7	NULL	NULL	0					
673236	MINFOS	9403470	!UNMAPPED	BLOOD PRESSURE CUFF LARGE	NULL	NULL	!	NULL	NULL	BLOOD PRESSURE CUFF LARGE	4715139500203	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	34:25.7	54:56.5	NULL	0					
672714	MINFOS	9439978	!UNMAPPED	CARE QUIP STOCKING AID SINGLE	NULL	NULL	!	NULL	NULL	CARE QUIP STOCKING AID SINGLE	5028318465293	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	37:49.4	NULL	NULL	0					
605565	MINFOS	9477730	!UNMAPPED	DDS IBUPROFEN CAP 24	NULL	NULL	!	NULL	NULL	DDS IBUPROFEN CAP 24	9338475022786	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	53:19.0	NULL	NULL	0					
673691	MINFOS	9481146	!UNMAPPED	NUTRITION CARE C PLUS 150 TAB	NULL	NULL	!	NULL	NULL	NUTRITION CARE C PLUS 150 TAB	9326939000715	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	46:17.4	NULL	NULL	0					
673024	MINFOS	9496673	!UNMAPPED	ZOLPIDEM 10MG TABS DVA 1	NULL	NULL	!	NULL	NULL	ZOLPIDEM 10MG TABS DVA 1	25098488	3	NULL	NULL	0	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	08:16.6	NULL	NULL	0					
673035	MINFOS	9501882	!UNMAPPED	ARTHRO AID 750MG 60X (DVA)	NULL	NULL	!	NULL	NULL	ARTHRO AID 750MG 60X (DVA)	25154146	3	NULL	NULL	0	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	23:43.5	NULL	NULL	0					
673036	MINFOS	9502953	!UNMAPPED	FORTISIP LIQUID X1	NULL	NULL	!	NULL	NULL	FORTISIP LIQUID X1	25166842	3	NULL	NULL	0	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	23:43.5	NULL	NULL	0					
672743	MINFOS	9514412	!UNMAPPED	FUDGE BLOW DRY PUTTY 75ML	NULL	NULL	!	NULL	NULL	FUDGE BLOW DRY PUTTY 75ML	5060056488813	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42:52.6	NULL	NULL	0					
672674	MINFOS	9517848	!UNMAPPED	PC-SINUS NASAL DECON TAB 12	NULL	NULL	!	NULL	NULL	PC-SINUS NASAL DECON TAB 12	9316100139313	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	54:21.3	17:42.0	NULL	0					
672728	MINFOS	9521765	!UNMAPPED	FOOT LOGIC KIDS K	NULL	NULL	!	NULL	NULL	FOOT LOGIC KIDS K	9338138000250	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42:12.0	NULL	NULL	0					
672715	MINFOS	9523517	!UNMAPPED	BUDGET W/STICK ADJ TEAL W/FLOWERS	NULL	NULL	!	NULL	NULL	BUDGET W/STICK ADJ TEAL W/FLOWERS	9315882202055	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	37:49.4	NULL	NULL	0					
673646	MINFOS	9549642	!UNMAPPED	A BIT HIPPY  TAMANU OIL	NULL	NULL	!	NULL	NULL	A BIT HIPPY  TAMANU OIL	9335955003266	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	32:33.2	NULL	NULL	0					
672980	MINFOS	9554404	!UNMAPPED	BIOISLAND EYESIGHT SUPPORT 180 GEL CAP	NULL	NULL	!	NULL	NULL	BIOISLAND EYESIGHT SUPPORT 180 GEL CAP	9344949001164	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	57:15.3	NULL	NULL	0					
672744	MINFOS	9554504	!UNMAPPED	ROCKTAPE ROCK SAUCE CHILL	NULL	NULL	!	NULL	NULL	ROCKTAPE ROCK SAUCE CHILL	799418006024	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42:52.6	NULL	NULL	0					
672729	MINFOS	9554927	!UNMAPPED	SCHWEPPES CHARLIES COCONUT WATER 330ML	NULL	NULL	!	NULL	NULL	SCHWEPPES CHARLIES COCONUT WATER 330ML	9421006043180	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42:12.0	NULL	NULL	0					
672730	MINFOS	9556044	BIST1	BISOLVON CHESTY FORTE TAB 8MG 100	NULL	NULL	!	NULL	NULL	BISOLVON CHESTY FORTE TAB 8MG 100	25560442	3	NULL	NULL	0	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42:12.0	NULL	NULL	0					
672716	MINFOS	9557845	!UNMAPPED	NDSS	NULL	NULL	!	NULL	NULL	NDSS	55	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	37:49.4	NULL	NULL	0					
672491	MINFOS	9557864	!UNMAPPED	COMPOUND S8	NULL	NULL	!	NULL	NULL	COMPOUND S8	25365016	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	39:16.9	NULL	NULL	0					
672549	MINFOS	9559442	!UNMAPPED	SOCKS 2PR PREMIUM	NULL	NULL	!	NULL	NULL	SOCKS 2PR PREMIUM	25494112	6	NULL	NULL	0	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	34:07.9	NULL	NULL	0					
673301	MINFOS	9579525	!UNMAPPED	FRDM ROLLATOR 8'' MULTI ADJ SEAT BLUE	NULL	NULL	!	NULL	NULL	FRDM ROLLATOR 8'' MULTI ADJ SEAT BLUE	27942611	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	00:11.0	NULL	NULL	0					
672844	MINFOS	9883196	!UNMAPPED	MEPILEX B/LITE 10X10CM REF 281300 EACH	NULL	NULL	!	NULL	NULL	MEPILEX B/LITE 10X10CM REF 281300 EACH	210034790	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	52:47.5	NULL	NULL	0					
673352	MINFOS	9897634	!UNMAPPED	HYDROCORTISONE MICRO 25G	NULL	NULL	!	NULL	NULL	HYDROCORTISONE MICRO 25G	28972563	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	40:44.0	NULL	NULL	0					
673190	MINFOS	9912879	!UNMAPPED	MELATONIN 25G	NULL	NULL	!	NULL	NULL	MELATONIN 25G	29091515	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	28:27.5	NULL	NULL	0					
673473	MINFOS	9992017	!UNMAPPED	!EASYDOSE WEBSTER	NULL	NULL	!	NULL	NULL	!EASYDOSE WEBSTER	29877003	1	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	08:00.4	NULL	NULL	0					
673631	MINFOS	9997556	!UNMAPPED	KFORCE DRYGUARD GUM	NULL	NULL	!	NULL	NULL	KFORCE DRYGUARD GUM	29931729	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	47:26.4	NULL	NULL	0					
672921	MTNTOPDISP	10245	!UNMAPPED	SCITROPIN A	SOMATROPIN (RBE)	NULL	SOLUTION FOR INJECTION	5MG/1.5ML	2	SCITROPIN A	NULL	NULL	4	NULL	NULL	P	G	NULL	NULL	NULL	NULL	NULL	NULL	22:00.1	NULL	NULL	0					
672922	MTNTOPDISP	12127	!UNMAPPED	RESOLVE TINEA	MICONAZOLE NITRATE	NULL	CREAM	2% 25G	1	RESOLVE TINEA	93478076	NULL	2	NULL	NULL	P	G	NULL	NULL	NULL	NULL	NULL	NULL	22:00.1	NULL	NULL	0					
672519	MTNTOPDISP	12173	!UNMAPPED	DETTOL ANTISEPTIC LIQUID	CHLOROXYLENOL	NULL	LIQUID	48MG/1ML 125ML	1	DETTOL ANTISEPTIC LIQUID	NULL	NULL	U	NULL	NULL	P	G	NULL	NULL	NULL	NULL	NULL	NULL	03:38.2	NULL	NULL	0					
604000	MTNTOPDISP	2000028117	!UNMAPPED	PHCY CARE VITAMIN D CAP	VIT D	SI	CAPSULE	1000IU	200	PHCY CARE VITAMIN D 200CAP	NULL	NULL	-	NULL	NULL	P	G	NULL	NULL	NULL	NULL	NULL	NULL	35:29.4	34:39.4	NULL	0					
672328	MTNTOPDISP	20223	!UNMAPPED	DILTIAZEM-PS	DILTIAZEM HYDROCHLORIDE	NULL	TABLET	60 MG	90	DILTIAZEM-PS	NULL	NULL	4	NULL	NULL	RA	G	NULL	NULL	NULL	NULL	NULL	NULL	46:15.7	NULL	NULL	0					
672923	MTNTOPDISP	21079	!UNMAPPED	AURO-FAMCICLOVIR 250	FAMCICLOVIR	DO	TABLET	250 MG	21	AURO-FAMCICLOVIR 250	8901175018048	NULL	4	8002E	J05AB09	P	G	NULL	NULL	NULL	NULL	NULL	NULL	22:00.1	NULL	NULL	0					
673064	MTNTOPDISP	21586	!UNMAPPED	CHILDREN'S CLARATYNE SYRUP GRAPE FLAVOUR	LORATADINE	NULL	SYRUP	1MG/1ML 120ML	1	CHILDREN'S CLARATYNE SYRUP GRAPE FLAVOUR	9317935002384	NULL	2	NULL	NULL	P	G	NULL	NULL	NULL	NULL	NULL	NULL	16:01.4	NULL	NULL	0					
673187	MTNTOPDISP	21778	!UNMAPPED	PREXUM 5	PERINDOPRIL	RX	TABLET	5 MG	30	PREXUM 5	NULL	NULL	4	9007C	C09AA04	C	G	NULL	NULL	NULL	NULL	NULL	NULL	05:47.7	NULL	NULL	0					
672408	MTNTOPDISP	22353	!UNMAPPED	BICALOX	BICALUTAMIDE	ER	TABLET	50 MG	28	BICALOX	NULL	NULL	4	8094B	L02BB03	CA	G	NULL	NULL	NULL	NULL	NULL	NULL	02:43.7	NULL	NULL	0					
673505	MTNTOPDISP	22891	!UNMAPPED	BENEFIBER	WHEAT DEXTRIN	NULL	POWDER FOR ORAL SOLUTION	3.5G	28	BENEFIBER	NULL	NULL	U	NULL	NULL	P	G	NULL	NULL	NULL	NULL	NULL	NULL	32:02.6	NULL	NULL	0					
672454	MTNTOPDISP	24179	!UNMAPPED	CALTRATE BONE & MUSCLE HEALTH	CALCIUM CARBONATE + CHOLECALCIFEROL + MAGNESIUM + ZINC + COPPER + MANGANESE	NULL	TABLET	NULL	100	CALTRATE BONE & MUSCLE HEALTH	NULL	NULL	U	NULL	NULL	3	G	NULL	NULL	NULL	NULL	NULL	NULL	34:12.5	NULL	NULL	0					
672924	MTNTOPDISP	25318	!UNMAPPED	TESTOGEL	TESTOSTERONE	HB	TRANSDERMAL GEL	12.5MG/1ACTUATION 60ACTUATIONS(BOTTLE), 2	1	TESTOGEL	NULL	NULL	4	10380H	G03BA03	GA	G	NULL	NULL	NULL	NULL	NULL	NULL	22:00.1	NULL	NULL	0					
673251	MTNTOPDISP	25592	!UNMAPPED	TRILEPTAL	OXCARBAZEPINE	NULL	ORAL SUSPENSION	60MG/1ML 250ML	1	TRILEPTAL	9319099316277	NULL	4	NULL	NULL	P	G	NULL	NULL	NULL	NULL	NULL	NULL	40:05.3	NULL	NULL	0					
672419	MTNTOPDISP	25965	!UNMAPPED	LEFLUNOMIDE-GA	LEFLUNOMIDE	ED	TABLET	10 MG	30	LEFLUNOMIDE-GA	9336666006133	NULL	4	8374R	L04AA13	CA	G	NULL	NULL	NULL	NULL	NULL	NULL	57:45.5	NULL	NULL	0					
604482	MTNTOPDISP	26206	!UNMAPPED	TACROLIMUS APOTEX	TACROLIMUS	TX	CAPSULE	1 MG	100	TACROLIMUS APOTEX	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	TACR39	14	48:29.3	59:06.3	59:06.3	0					
589661	MTNTOPDISP	26218	!UNMAPPED	TACROLIMUS APOTEX	TACROLIMUS	TX	CAPSULE	1 MG	100	TACROLIMUS APOTEX	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	TACR39	14	07:39.8	59:06.3	59:06.3	0					
596730	MTNTOPDISP	26376	!UNMAPPED	OXYTROL	OXYBUTYNIN	AG	TRANSDERMAL PATCHES	3.9MG/24HOURS(39 CM<SUP>2</SUP>, 36 MG), 8	1	OXYTROL	NULL	NULL	4	9454N	G04BD04	G	G	NULL	NULL	NULL	NULL	NULL	NULL	30:57.7	34:01.4	NULL	0					
598999	MTNTOPDISP	26477	ToAsk	APO-ROSUVASTATIN BOTL	ROSUVASTATIN	TX	TABLET	10MG	30	APO-ROSUVASTATIN BOTL	NULL	NULL	4	3403D	C10AA07	E	G	NULL	NULL	NULL	NULL	NULL	NULL	30:54.3	34:01.4	NULL	0					
583069	MTNTOPDISP	26530	!UNMAPPED	SPREN 100	ASPIRIN	QA	TABLET	100 MG	112	SPREN 100	9316626607068	NULL	2	10590J	B01AC06	P	G	NULL	NULL	NULL	NULL	AS20	14	01:20.0	34:12.8	51:43.8	0					
672925	MTNTOPDISP	26561	!UNMAPPED	CLOPIDOGREL AN	CLOPIDOGREL	EA	TABLET	75 MG	28	CLOPIDOGREL AN	9346697004107	NULL	4	4179Y	B01AC04	CA	G	NULL	NULL	NULL	NULL	NULL	NULL	22:00.1	NULL	NULL	0					
673577	MTNTOPDISP	26904	!UNMAPPED	ACTAZE	PIOGLITAZONE	RW	TABLET	30 MG	28	ACTAZE	9316626608638	NULL	4	8695P	A10BG03	GA	G	NULL	NULL	NULL	NULL	NULL	NULL	46:58.7	NULL	NULL	0					
607183	MTNTOPDISP	27112	!UNMAPPED	CHEMISTS' OWN LAXATIVE WITH SENNA	DOCUSATE + SENNOSIDES	RW	TABLET	50MG/11.27MG	90	CHEMISTS' OWN LAXATIVE WITH SENNA	NULL	NULL	U	4198Y	A06AB56	P	G	NULL	NULL	NULL	NULL	NULL	NULL	44:33.3	NULL	NULL	0					
672315	MTNTOPDISP	27128	!UNMAPPED	CLONAC 50	DICLOFENAC	RW	TABLET	50 MG	50	CLONAC 50	9327408000823	NULL	4	5362F	M01AB05	C	G	NULL	NULL	NULL	NULL	NULL	NULL	54:10.4	NULL	NULL	0					
605573	MTNTOPDISP	27287	!UNMAPPED	PROFEME 3.2	PROGESTERONE	NULL	CREAM	32MG/1ML 50ML(3.2% W/V)	1	PROFEME 3.2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	53:19.0	NULL	NULL	0					
672926	MTNTOPDISP	27296	!UNMAPPED	ELTROXIN	THYROXINE SODIUM	NULL	TABLET	125 MCG	200	ELTROXIN	6091403215218	NULL	4	NULL	NULL	P	G	NULL	NULL	NULL	NULL	NULL	NULL	22:00.1	16:01.6	NULL	0					
673628	MTNTOPDISP	27348	!UNMAPPED	FENTORA	FENTANYL	TB	ORALLY DISINTEGRATING TABLET	100 MCG	28	FENTORA	NULL	NULL	8	10684H	N02AB03	RA	G	NULL	NULL	NULL	NULL	NULL	NULL	13:08.8	NULL	NULL	0					
673484	MTNTOPDISP	27355	!UNMAPPED	IMIGRAN FDT	SUMATRIPTAN	AS	ORALLY DISINTEGRATING TABLET	50MG	4	IMIGRAN FDT	9331134926791	NULL	4	10694W	N02CC01	C	G	NULL	NULL	NULL	NULL	NULL	NULL	49:17.5	42:23.7	NULL	0					
673654	MTNTOPDISP	27737	!UNMAPPED	STAPHYLEX 500	FLUCLOXACILLIN	AF	CAPSULE	500 MG	24	STAPHYLEX 500	9323610002440	NULL	4	10788T	J01CF05	P	G	NULL	NULL	NULL	NULL	NULL	NULL	32:52.2	NULL	NULL	0					
672967	MTNTOPDISP	27739	!UNMAPPED	APO-FLUCLOXACILLIN	FLUCLOXACILLIN	TX	CAPSULE	500 MG	24	APO-FLUCLOXACILLIN	9338475017324	NULL	4	10788T	J01CF05	GA	G	NULL	NULL	NULL	NULL	NULL	NULL	57:27.4	42:23.7	NULL	0					
673252	MTNTOPDISP	27740	!UNMAPPED	E-MYCIN	ERYTHROMYCIN ETHYLSUCCINATE	AF	TABLET	400 MG	25	E-MYCIN	9323610001733	NULL	4	10789W	J01FA01	CA	G	NULL	NULL	NULL	NULL	NULL	NULL	40:05.3	NULL	NULL	0					
673578	MTNTOPDISP	27866	!UNMAPPED	OSTEOMOL 665 PARACETAMOL	PARACETAMOL	CR	TABLET (MODIFIED RELEASE)	665 MG	192	OSTEOMOL 665 PARACETAMOL	NULL	NULL	3	10796F	N02BE01	P	G	NULL	NULL	NULL	NULL	NULL	NULL	46:58.7	NULL	NULL	0					
