DrugMaster_ID	SourceSystem_Code	Drug_Code	DrugMaster_Code	Drug_Description	AltDrug_Description	OriginalDrug_Description	Universal_Code	GenericDrugType_Code	Schedule_Code	Manufacturer_Name	GenNHS_Code	Form_Code	Strength_Code	Generic_Name	PackSize_Qty	Type_Code	Class_Code	PBS_Code	PackMultiplier_Number	OverridePackSize_Qty	Processed	AutoDMC_Code	FailureType_Code	Created_DateTime	LastUpdate_DateTime	Mapped_DateTime	PBSItemValid	Column 28
NULL	PHARMACYPRO	31827|111084	!UNMAPPED	OMEGA 3 MAX 400	NULL	OMEGA 3 MAX 400	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	31827|58746	!UNMAPPED	VERMOX TABLETS 2	NULL	VERMOX TABLETS 2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	32047|58737	!UNMAPPED	PHCY CARE MOMETASONE SPRAY 140 DOSE	NULL	PHCY CARE MOMETASONE SPRAY 140 DOSE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	33549	!UNMAPPED	AFINITOR 10MG T	EVEROLIMUS 10MG T (NV)	AFINITOR 10MG T	NULL	NULL	NULL	NV	NULL	TABLET	NULL	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	33693	!UNMAPPED	GABAPENTIN AN 600MG T	GABAPENTIN 600MG T (EA)	GABAPENTIN AN 600MG T	NULL	NULL	NULL	EA	NULL	TABLET	NULL	NULL	100	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	34398	!UNMAPPED	CELECOXIB SZ 200MG HGC 30 BP	CELECOXIB 200MG C (SZ)	CELECOXIB SZ 200MG HGC 30 BP	NULL	NULL	NULL	NULL	NULL	CAPSULE	NULL	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	34860	!UNMAPPED	METHOTREXATE MYX 50MG/2ML INJ	METHOTREXATE 50 MG/2ML INJ (OC)	METHOTREXATE MYX 50MG/2ML INJ	NULL	NULL	NULL	OC	NULL	INJECTION	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	35872	!UNMAPPED	ROSUVASTATIN RBX 5MG T	ROSUVASTATIN 5MG T (RA)	ROSUVASTATIN RBX 5MG T	NULL	NULL	NULL	NULL	NULL	TABLET	NULL	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	35941	!UNMAPPED	CALINDAMIN 150MG CAP 24	CLINDAMYCIN 150MG C (RW)	CALINDAMIN 150MG CAP 24	NULL	NULL	NULL	RW	NULL	CAPSULE	NULL	NULL	24	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	36662	!UNMAPPED	TRAJENTAMET 2.5/1000MG T BTL	LINAGLIPTIN + METFORMIN 2.5/500MG T (BY)	TRAJENTAMET 2.5/1000MG T BTL	NULL	NULL	NULL	BY	NULL	TABLET	NULL	NULL	60	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	36799	!UNMAPPED	APO-ROSUVASTATIN 10MG T BTL	ROSUVASTATIN 10MG T (TX)	APO-ROSUVASTATIN 10MG T BTL	NULL	NULL	NULL	TX	NULL	TABLET	NULL	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	37536	!UNMAPPED	MAXOLON 10MG/2ML.INJ (10)	METOCLOPRAMIDE 10MG/2ML INJ (VT)	MAXOLON 10MG/2ML.INJ (10)	NULL	NULL	NULL	IA	NULL	INJECTION	NULL	NULL	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	37644	!UNMAPPED	KEFLEX 500MG C	CEPHALEXIN 500MG C (AS)	KEFLEX 500MG C	NULL	NULL	NULL	AS	NULL	CAPSULE	NULL	NULL	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	37662	!UNMAPPED	NALOXONE AMP 400MCG 1ML X 5	NALOXONE 400MCG/1ML (HH)	NALOXONE AMP 400MCG 1ML X 5	NULL	NULL	NULL	HH	NULL	INJECTION	NULL	NULL	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	37671	!UNMAPPED	FLOPEN CAP 500MG  24	FLUCLOXACILLIN SOD 500MG C (AS)	FLOPEN 500MG C	NULL	NULL	NULL	AS	NULL	CAPSULE	NULL	NULL	24	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	37755	!UNMAPPED	PAXAM TAB  2.0MG 100	CLONAZEPAM 2MG T (AF)	PAXAM 2MG T BOTTLE	NULL	NULL	NULL	NULL	NULL	TABLET	NULL	NULL	100	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	37762	!UNMAPPED	INZA 500MG T BTL	NAPROXEN 500MG T (AF)	INZA 500MG T BTL	NULL	NULL	NULL	NULL	NULL	TABLET	NULL	NULL	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	37771	!UNMAPPED	VALIUM TAB  5MG  50	DIAZEPAM 5MG T (RO)	VALIUM TAB  5MG  50	NULL	NULL	NULL	NULL	NULL	TABLET	NULL	NULL	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	37910	!UNMAPPED	PAROXETINE GH 20MG T	PAROXETINE 20MG T (GQ)	PAROXETINE GH 20MG T	NULL	NULL	NULL	GQ	NULL	TABLET	NULL	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	38480	!UNMAPPED	ELEUPHRAT 0.05% OINTMENT 15G	BETAMETHASONE DIPR 0.05% OINT 15G (EX)	ELEUPHRAT 0.05% OINTMENT 15G	NULL	NULL	NULL	FR	NULL	TOPIC-OINT	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	38523	!UNMAPPED	ELEUPHRAT OINT 15G	BETAMETHASONE DIPR 0.05% OINT 15G (EX)	ELEUPHRAT OINT 15G	NULL	NULL	NULL	FR	NULL	TOPIC-OINT	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	38530	!UNMAPPED	ELEUPHRAT 0.05% OINTMENT 15G	BETAMETHASONE DIPR 0.05% OINT 15G (EX)	ELEUPHRAT 0.05% OINTMENT 15G	NULL	NULL	NULL	FR	NULL	TOPIC-OINT	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	38540	!UNMAPPED	NOVASONE 0.1% LOTION 30ML	MOMETASONE 0.1% LOTION 30ML (AF)	NOVASONE 0.1% LOTION 30ML	NULL	NULL	NULL	AF	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	38568	!UNMAPPED	ADVANTAN CRM 0.1%  15G	METHYLPR ACEP 0.1% CREAM 15G (CS)	ADVANTAN CRM 0.1%  15G	NULL	NULL	NULL	BN	NULL	TOPIC-CREAM	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	42242|11045	!UNMAPPED	OLMETEC 20MG TAB 30	OLMESARTAN MEDOXOMIL 20MG T (SH)	OLMETEC 20MG TAB 30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	42242|2332	!UNMAPPED	DIABEX TAB 500MG 100	METFORMIN 500MG T (AL)	DIABEX TAB 500MG 100	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	100	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	42242|24660	!UNMAPPED	SAVACOL RINSE ALC FREE 300ML	NULL	SAVACOL RINSE ALC FREE 300ML	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	42242|2645	!UNMAPPED	KENACORT A AMP  10MG 1ML 5	TRIAMCINOLONE 10MG/ML INJ (QA)	KENACORT A AMP  10MG 1ML 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	42242|7944	!UNMAPPED	INSULIN HUMALOG CART  3.0ML  5	INSULIN LISPRO 3MLX5 (LY)	INSULIN HUMALOG CART  3.0ML  5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	51041|29190	!UNMAPPED	SPIRIVA HANDIHALER	NULL	SPIRIVA HANDIHALER	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	51041|42381	!UNMAPPED	CALTRATE VIT D 1000IU 180 CAPSULES	NULL	CALTRATE VIT D 1000IU 180 CAPSULES	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	61467|190189	!UNMAPPED	UREA USP 30KG	NULL	UREA USP 30KG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	61467|190194	!UNMAPPED	BUDESONIDE 3MG SR CAPSULES 90	NULL	BUDESONIDE 3MG SR CAPSULES 90	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	61621|91219	!UNMAPPED	CHINAMED RESISTANCE #2 FOMULA 78 CAPS	HQ CHINAMED RESISTANCE #2 FOMULA 78 CAP	CHINAMED RESISTANCE #2 FOMULA 78 CAPS	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	61621|91220	!UNMAPPED	ORIENTAL BOTANICALS BRONCHELIX TABS 60	HQ ORIENTAL BOTANICALS BRONCHELIX T 60	ORIENTAL BOTANICALS BRONCHELIX TABS 60	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	61621|91223	!UNMAPPED	BIO/C LIPOSOMAL CO Q10 50ML	HQ BIO/C LIPOSOMAL CO Q10 50ML	BIO/C LIPOSOMAL CO Q10 50ML	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	61621|91228	!UNMAPPED	TOXAPREVENT FROXIMUN PURE 60 CAPS	HQ TOXAPREVENT FROXIMUN PURE 60 CAPS	TOXAPREVENT FROXIMUN PURE 60 CAPS	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	61631|31702	!UNMAPPED	C/O PAIN TABLETS 40 BLISTER	NULL	C/O PAIN TABLETS 40 BLISTER	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235184	!UNMAPPED	TOBRAMYCIN AN 300MG/5ML SOL 56	TOBRAMYCIN	TOBRAMYCIN AN 300MG/5ML SOL 56	9346697006491	NULL	NULL	AMNEAL PHARM PTY LTD	NULL	NULL	300NG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235192	!UNMAPPED	ATOMOXETINE AMNEAL 100MG BL 28	ATOMOXETINE	ATOMOXETINE AMNEAL 100MG BL 28	9346697006453	NULL	NULL	AMNEAL PHARM PTY LTD	NULL	NULL	100MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235226	!UNMAPPED	ATOMOXETINE AMNEAL 18MG BLS 28	ATOMOXETINE	ATOMOXETINE AMNEAL 18MG BLS 28	9346697006408	NULL	NULL	AMNEAL PHARM PTY LTD	NULL	NULL	18MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235234	!UNMAPPED	ATOMOXETINE AMNEAL 25MG BLS 28	ATOMOXETINE	ATOMOXETINE AMNEAL 25MG BLS 28	9346697006415	NULL	NULL	AMNEAL PHARM PTY LTD	NULL	NULL	25MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235242	!UNMAPPED	ATOMOXETINE AMNEAL 40MG BLS 28	ATOMOXETINE	ATOMOXETINE AMNEAL 40MG BLS 28	9346697006422	NULL	NULL	AMNEAL PHARM PTY LTD	NULL	NULL	40MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235259	!UNMAPPED	ATOMOXETINE AMNEAL 60MG BLS 28	ATOMOXETINE	ATOMOXETINE AMNEAL 60MG BLS 28	9346697006439	NULL	NULL	AMNEAL PHARM PTY LTD	NULL	NULL	60MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235267	!UNMAPPED	ATOMOXETINE AMNEAL 80MG BLS 28	ATOMOXETINE	ATOMOXETINE AMNEAL 80MG BLS 28	9346697006446	NULL	NULL	AMNEAL PHARM PTY LTD	NULL	NULL	80MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235465	!UNMAPPED	PRAXBIND IDARUCIZ 50ML2X2.5G	IDARUCIZUMAB	PRAXBIND IDARUCIZ 50ML2X2.5G	9310717400989	NULL	NULL	BOEHRINGER INGELHEIM PTY LTD	NULL	NULL	2.5G	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235929	!UNMAPPED	ADVAGRAF XL 5MG CAP 30	TACROLIMUS	ADVAGRAF XL 5MG CAP 30	9348121000235	NULL	NULL	DHL ASTELLAS PHARMA AUSTR PL	NULL	NULL	5MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235986	!UNMAPPED	ADVAGRAF XL 1MG CAP 60	TACROLIMUS	ADVAGRAF XL 1MG CAP 60	9348121000228	NULL	NULL	DHL ASTELLAS PHARMA AUSTR PL	NULL	NULL	1MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235994	!UNMAPPED	ADVAGRAF XL 0.5MG CAP 30	TACROLIMUS	ADVAGRAF XL 0.5MG CAP 30	9348121000211	NULL	NULL	DHL ASTELLAS PHARMA AUSTR PL	NULL	NULL	0.5MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	236232	!UNMAPPED	TACROLIMUS SZ 0.75MG CAP 100	TACROLIMUS	TACROLIMUS SZ 0.75MG CAP 100	9322838010435	NULL	NULL	SANDOZ PTY LTD	NULL	NULL	0.75MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	236265	!UNMAPPED	TACROLIMUS SZ 2MG CAP 100	TACROLIMUS	TACROLIMUS SZ 2MG CAP 100	9322838010442	NULL	NULL	SANDOZ PTY LTD	NULL	NULL	25MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	236273	!UNMAPPED	MORPHINE JUNO 10/1ML 5 AMP DD	MORPHINE HYDROCHLORIDE	MORPHINE JUNO 10/1ML 5 AMP DD	9349029000099	NULL	NULL	SYMBION JUNO PHARMACEUTICALS	NULL	NULL	10MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	236281	!UNMAPPED	MORPHINE JUNO 20/1ML 5 AMP DD	MORPHINE HYDROCHLORIDE	MORPHINE JUNO 20/1ML 5 AMP DD	9349029000112	NULL	NULL	SYMBION JUNO PHARMACEUTICALS	NULL	NULL	20MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	236299	!UNMAPPED	MORPHINE JUNO 50/1ML 5 AMP DD	MORPHINE HYDROCHLORIDE	MORPHINE JUNO 50/1ML 5 AMP DD	9349029000105	NULL	NULL	SYMBION JUNO PHARMACEUTICALS	NULL	NULL	50MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	236323	!UNMAPPED	MORPHINE JUNO 100/1ML 5 AMP DD	MORPHINE HYDROCHLORIDE	MORPHINE JUNO 100/1ML 5 AMP DD	9349029000129	NULL	NULL	SYMBION JUNO PHARMACEUTICALS	NULL	NULL	100MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	236331	!UNMAPPED	APH PARA PAIN RELIEF 100 BTL	PARACETAMOL	APH PARA PAIN RELIEF 100 BTL	9338475017379	NULL	NULL	APOTEX PTY LTD	NULL	NULL	500MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	236349	!UNMAPPED	APH PARA PAIN RELIEF 1000 BTL	PARACETAMOL	APH PARA PAIN RELIEF 1000 BTL	9338475017386	NULL	NULL	APOTEX PTY LTD	NULL	NULL	500MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	00000000-0000-0000-0000-000000000000	!UNMAPPED	NULL	< LOAD E-PRESCRIPTION >	< LOAD E-PRESCRIPTION >	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	0015CD15-E043-4762-9FB0-2174B95378BA	!UNMAPPED	PODOPHYLLIN	PODOPHYLLIN PAINT 15%	PODOPHYLLIN	NULL	NULL	NULL	NULL	NULL	PAINT	15%	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	002F8962-C14D-4F0D-82D1-9EE985FE46E0	!UNMAPPED	SHOWER CAPS	SHOWER CAPS	SHOWER CAPS	9312203088527	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	0061CD55-07AB-4860-8D2A-F341B3F50969	!UNMAPPED	MOMEX	MOMEX TABS SR 60MG	MOMEX	9316626605248	NULL	NULL	NULL	NULL	TABS SR	60MG	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	008F4565-89E8-48E6-97B3-6BB5A1717934	!UNMAPPED	CLARATYNE LIQUID	CLARATYNE LIQUID CAPSULES 10MG	CLARATYNE LIQUID	NULL	NULL	NULL	NULL	NULL	CAPSULES	10MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	00FE3A26-E609-4882-B511-433ED25F1B8F	!UNMAPPED	T/SKIN WRIST HAND BRC RGT MED	T/SKIN WRIST HAND BRC RGT MED	T/SKIN WRIST HAND BRC RGT MED	609580842811	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	011867CD-F30A-4FEE-AD16-5EE16B27E051	!UNMAPPED	KETAMINE 10%, LIGNOC 5% CREAM 100G	KETAMINE 10%, LIGNOC 5% CREAM 100G	KETAMINE 10%, LIGNOC 5% CREAM 100G	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	012B8DA2-8182-41A1-ACB2-74E6E1FF8A69	!UNMAPPED	ALLENS BUTTER MENTHOL BOX	ALLENS BUTTER MENTHOL BOX	ALLENS BUTTER MENTHOL BOX	9300625501069	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	015D1633-318F-4E66-A990-68CD35D0C2C8	!UNMAPPED	DARRELL LEA CHOC COATED LIQUORICE	DARRELL LEA CHOC COATED LIQUORICE	DARRELL LEA CHOC COATED LIQUORICE	9310881980188	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	019872CD-6747-4E4F-96C9-960C7ED4C873	!UNMAPPED	PANTENE S/POO AQUALIGHT 350M	PANTENE S/POO AQUALIGHT 350M	PANTENE S/POO AQUALIGHT 350M	4902430396516	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	01A1C9C6-3EB5-4463-BE95-CA3C7C763447	!UNMAPPED	B DOSE FORTE INJ X 6	B DOSE FORTE INJ X 6	B DOSE FORTE INJ X 6	852571	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	01DA4F76-CE06-4B2A-B146-F7648B266473	!UNMAPPED	NO OMEGA 3 F/OIL1000 400 O/LESS CAP(609)	NO OMEGA 3 F/OIL1000 400 O/LESS CAP(609)	NO OMEGA 3 F/OIL1000 400 O/LESS CAP(609)	9316090060901	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	02477859-1F57-4D06-A4CB-5B5AF83385A8	!UNMAPPED	BRUT ORIG DEOD SPRY 150G	BRUT ORIG DEOD SPRY 150G	BRUT ORIG DEOD SPRY 150G	9314807008727	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	026FD4AF-AE9F-4568-BDD8-7B736D29121D	!UNMAPPED	CM SORB CRM 500G JAR NS (6)	CM SORB CRM 500G JAR NS (6)	CM SORB CRM 500G JAR NS (6)	9316100686992	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	02AEAEA1-3D17-44DF-AD86-628A544447C6	!UNMAPPED	DENCORUB ESS MASSG BALM 80G	DENCORUB ESS MASSG BALM 80G	DENCORUB ESS MASSG BALM 80G	9310320001870	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	035C77C9-970E-4945-B950-79E3FC1FD4C3	!UNMAPPED	CM CETIRIZINE H/FVR & ALLERGY 30TABS (6)	CM CETIRIZINE H/FVR & ALLERGY 30TABS (6)	CM CETIRIZINE H/FVR & ALLERGY 30TABS (6)	9316100664419	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	03823E43-A8BA-4E68-91C3-C170CA88FFBA	!UNMAPPED	TELMISARTAN PCR	TELMISARTAN PCR TABLETS 80MG	TELMISARTAN PCR	9339218002812	NULL	NULL	CR	NULL	TABLETS	80MG	NULL	28	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	03FFDEF3-4E4C-4482-BBD0-3F032F484CD9	!UNMAPPED	T/SKIN WRIST WRAP 80626	T/SKIN WRIST WRAP 80626	T/SKIN WRIST WRAP 80626	609580806264	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
